,Playlist,play_id
0,0,1lcDoZg6vk0AFFjeScrd6p
1,1,4x9sVRu4e6PYdEc035rf4o
2,2,3cW15XEdMNu9AmWi0ijt8O
3,3,5xmSHJLYBFinksvgmGHPss
4,4,2QCWS6OJ2CnJQVJiQPJXjp
5,5,5yGQnqYGL2VV93uoLpUPKr
6,6,7DRiguUeGGk8OskSYxGaaP
7,7,5lVs9xW3sClhkCKWJ27XH4
8,8,1lGdLSk6E3efR3rs25jKfB
9,9,5SIzEaOJe9vB3vQRonDBz1
10,10,3oazS1cQhf7liMUV9MJPIm
11,11,72oRmhavPBjztkT3Tswpph
12,12,4oDNCl0gjcRyJikRmfi9Q5
13,13,1MWtFuqVUzzbqCt8IIMgAW
14,14,59gItZzVmU88w2SJi4ms2r
15,15,4lMard06S0QJgsrohJXBO3
16,16,2hoIZYKzNgPjMkxv7G41O5
17,17,3ZXsOCFSoaevyurLYU1gfG
18,18,0N49o0yZDF1jU93qWsSwqx
19,19,0RDN4NVKUKJL4a9B5YO7L2
